what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.1.R34x_v20080808-1156,org.eclipse.equinox.p2.updatesite,1322135326432
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.0.4.v20080930,org.eclipse.equinox.p2.artifact.repository,1322135326928
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1322135358185
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.1.R34x_v20081029,org.eclipse.equinox.p2.ui.sdk.update,1322135358236
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1322135386159
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1322135411642
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.help.aboutAction,1322135411655
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1322135425785
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1322135486169
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1322135487395
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1322135487427
started,bundle,org.eclipse.mylyn.pde.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.pde.ui,1322135487453
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1322135487487
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1322135487891
started,bundle,org.eclipse.wst.sse.ui,1.1.4.v200901202345,org.eclipse.wst.sse.ui,1322135488967
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1322135489324
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1322135489346
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.206.v20090115,org.eclipse.jst.server.generic.jboss,1322135489770
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1322135489794
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,org.eclipse.jst.server.generic.oc4j,1322135489814
stopped,bundle,org.jboss.tools.esb.ui,1.1.0.GA-N200903120225-H28,org.jboss.tools.esb.ui,1322135489814
stopped,bundle,org.jboss.tools.jsf.ui,3.0.0.GA-N200903120225-H28,org.jboss.tools.jsf.ui,1322135489814
stopped,bundle,org.jboss.tools.jst.web.tiles.ui,3.0.0.GA-N200903120225-H28,org.jboss.tools.jst.web.tiles.ui,1322135489837
stopped,bundle,org.jboss.tools.seam.ui.pages,3.0.0.GA-N200903120225-H28,org.jboss.tools.seam.ui.pages,1322135489868
